RefAxon;Anno;Mese;URL;Frequenza;Flg_Minerva;Data_Ultimo_Aggiornamento;Tipologia
DS-1944;2025;04;https://rerdatahub.blob.core.windows.net/open-datahub/DS-1944/2025/04_Aprile_2025.csv;SETTIMANALE;S;2025-06-02 07:07:37;OPEN
DS-1944;2025;03;https://rerdatahub.blob.core.windows.net/open-datahub/DS-1944/2025/03_Marzo_2025.csv;SETTIMANALE;S;2025-05-26 07:06:10;OPEN
DS-1944;2025;02;https://rerdatahub.blob.core.windows.net/open-datahub/DS-1944/2025/02_Febbraio_2025.csv;SETTIMANALE;S;2025-04-28 07:05:55;OPEN
DS-1944;2025;01;https://rerdatahub.blob.core.windows.net/open-datahub/DS-1944/2025/01_Gennaio_2025.csv;SETTIMANALE;S;2025-03-31 07:07:45;OPEN
DS-1944;2024;12;https://rerdatahub.blob.core.windows.net/open-datahub/DS-1944/2024/12_Dicembre_2024.csv;SETTIMANALE;S;2025-02-24 06:05:36;OPEN
DS-1944;2024;11;https://rerdatahub.blob.core.windows.net/open-datahub/DS-1944/2024/11_Novembre_2024.csv;SETTIMANALE;S;2025-01-27 06:07:14;OPEN
DS-1944;2024;10;https://rerdatahub.blob.core.windows.net/open-datahub/DS-1944/2024/10_Ottobre_2024.csv;SETTIMANALE;S;2024-12-30 06:06:16;OPEN
DS-1944;2024;09;https://rerdatahub.blob.core.windows.net/open-datahub/DS-1944/2024/09_Settembre_2024.csv;SETTIMANALE;S;2024-11-25 06:07:53;OPEN
DS-1944;2024;08;https://rerdatahub.blob.core.windows.net/open-datahub/DS-1944/2024/08_Agosto_2024.csv;SETTIMANALE;S;2024-10-28 06:05:55;OPEN
DS-1944;2024;07;https://rerdatahub.blob.core.windows.net/open-datahub/DS-1944/2024/07_Luglio_2024.csv;SETTIMANALE;S;2024-09-30 07:06:47;OPEN
DS-1944;2024;06;https://rerdatahub.blob.core.windows.net/open-datahub/DS-1944/2024/06_Giugno_2024.csv;SETTIMANALE;S;2024-08-02 19:51:01;OPEN
DS-1944;2024;05;https://rerdatahub.blob.core.windows.net/open-datahub/DS-1944/2024/05_Maggio_2024.csv;SETTIMANALE;S;2024-08-02 19:33:48;OPEN
DS-1944;2024;04;https://rerdatahub.blob.core.windows.net/open-datahub/DS-1944/2024/04_Aprile_2024.csv;SETTIMANALE;S;2024-08-02 19:32:42;OPEN
