"data","DE AMICIS","v_DE AMICIS","GIARDINI MARGHERITA","v_GIARDINI MARGHERITA","PORTA SAN FELICE","v_PORTA SAN FELICE","SAN LAZZARO","v_SAN LAZZARO","VIA CHIARINI","v_VIA CHIARINI"
"2024-01-01 00:00","24","S","20","S","24","S","20","S","21","S"
"2024-01-02 00:00","23","S","21","S","24","S","21","S","21","S"
"2024-01-03 00:00","31","S","28","S","32","S","30","S","28","S"
"2024-01-04 00:00","24","S","21","S","33","S","30","S","25","S"
"2024-01-05 00:00","32","S","39","S","39","S","38","S","39","S"
"2024-01-06 00:00","3","S","","","4","S","2","S","15","S"
"2024-01-07 00:00","4","S","","","8","S","7","S","11","S"
"2024-01-08 00:00","16","S","","","21","S","19","S","14","S"
"2024-01-09 00:00","","","19","S","31","S","","","27","S"
"2024-01-10 00:00","23","S","24","S","35","S","","","34","S"
"2024-01-11 00:00","35","S","31","S","34","S","33","S","40","S"
"2024-01-12 00:00","34","S","26","S","33","S","33","S","29","S"
"2024-01-13 00:00","41","S","38","S","42","S","47","S","37","S"
"2024-01-14 00:00","49","S","36","S","40","S","37","S","41","S"
"2024-01-15 00:00","50","S","44","S","51","S","54","S","49","S"
"2024-01-16 00:00","54","S","55","S","66","S","60","S","54","S"
"2024-01-17 00:00","51","S","45","S","54","S","49","S","52","S"
"2024-01-18 00:00","27","S","19","S","32","S","23","S","",""
"2024-01-19 00:00","24","S","25","S","31","S","27","S","42","S"
"2024-01-20 00:00","22","S","16","S","26","S","21","S","25","S"
"2024-01-21 00:00","32","S","21","S","23","S","28","S","26","S"
"2024-01-22 00:00","32","S","22","S","34","S","","","34","S"
"2024-01-23 00:00","49","S","37","S","45","S","","","32","S"
"2024-01-24 00:00","45","S","35","S","50","S","57","S","35","S"
"2024-01-25 00:00","58","S","57","S","76","S","69","S","58","S"
"2024-01-26 00:00","78","S","70","S","81","S","85","S","72","S"
"2024-01-27 00:00","51","S","43","S","66","S","54","S","48","S"
"2024-01-28 00:00","40","S","41","S","46","S","42","S","42","S"
