date, pm25, pm10, o3, no2, co
2025/6/1, 38, 10, 37, 8, 
2025/6/2, 21, 12, 39, 20, 
2025/6/3, 21, 16, 43, 22, 
2025/6/4, 30, 21, 36, 24, 
2025/6/5, 38, 16, 38, 17, 
2025/6/6, 38, 16, 39, 13, 
2025/6/7, 34, 22, 46, 7, 
2025/6/8, 53, 30, , 22, 
2025/6/9, 63, 27, 62, 23, 
2025/6/10, 59, , 81, 26, 
2025/6/13, 63, 44, 83, 23, 
2025/6/14, 85, 30, 62, 14, 
2025/6/15, 63, 23, 42, 19, 
2025/6/16, 59, 17, 32, 24, 
2025/6/17, 25, 16, 48, 28, 
2025/6/18, 34, 22, , 24, 
2025/6/19, 50, , , , 
2025/5/1, 34, 20, 43, 17, 
2025/5/2, 34, 14, 40, 10, 
2025/5/3, 34, 12, 36, 13, 
2025/5/4, 17, 10, 22, 19, 
2025/5/5, 13, 16, 22, , 
2025/5/6, 30, 10, 22, , 
2025/5/7, 21, 13, 28, 33, 
2025/5/8, 30, 20, 27, 30, 
2025/5/9, 42, 15, 30, 30, 
2025/5/10, 34, 10, 33, 21, 
2025/5/11, 25, 15, 30, 28, 
2025/5/12, 21, 14, 32, 31, 
2025/5/13, 25, 17, 33, 29, 
2025/5/14, 30, 17, 37, 31, 
2025/5/15, 34, 10, 30, 19, 
2025/5/16, 17, 9, 32, 19, 
2025/5/17, 21, 10, , 10, 
2025/5/18, 21, 14, 30, 20, 
2025/5/19, 38, 18, 23, 28, 
2025/5/20, 25, 16, 31, 21, 
2025/5/21, 30, 7, 28, 21, 
2025/5/22, 13, 8, 31, 26, 
2025/5/23, 13, 8, 37, 15, 
2025/5/24, 25, 11, 47, 14, 
2025/5/25, 42, 15, 45, 21, 
2025/5/26, 38, 20, 29, 22, 
2025/5/27, 46, 14, 43, 19, 
2025/5/28, 38, 17, 47, 24, 
2025/5/29, 34, 15, 48, 21, 
2025/5/30, 30, 17, 50, 19, 
2025/5/31, 25, 16, 52, 13, 
2025/4/1, 46, 22, 20, 23, 
2025/4/2, 53, 22, 31, 37, 
2025/4/3, 57, 20, 34, 24, 
2025/4/4, 46, 16, 38, 29, 
2025/4/5, 38, 22, 32, 17, 
2025/4/6, 38, 20, 31, 28, 
2025/4/7, 46, 19, 32, 23, 
2025/4/8, 50, 24, 37, 23, 
2025/4/9, 59, 33, 40, 33, 
2025/4/10, 61, 19, 43, 21, 
2025/4/11, 38, 22, 34, 19, 
2025/4/12, 38, 10, 19, 14, 
2025/4/13, 13, 10, 15, 23, 
2025/4/14, 13, 17, 26, 27, 
2025/4/15, 17, 33, 21, 22, 
2025/4/16, 21, 15, 23, 26, 
2025/4/17, 13, 13, 26, 23, 
2025/4/18, 25, 10, 30, 14, 
2025/4/19, 25, 15, 29, 12, 
2025/4/20, 38, 13, 29, 15, 
2025/4/21, 25, 17, 34, 16, 
2025/4/22, 30, 17, 22, 17, 
2025/4/23, 25, 14, 32, 20, 
2025/4/24, 25, 7, 30, 13, 
2025/4/25, 17, 9, 27, 13, 
2025/4/26, 13, 15, 22, 17, 
2025/4/27, 34, 20, 32, 16, 
2025/4/28, 42, 20, 37, 20, 
2025/4/29, 42, 17, 39, 30, 
2025/4/30, 30, 13, 43, 11, 
2025/1/1, 85, 51, 3, 16, 
2025/1/2, 109, 59, 3, 12, 
2025/1/3, 147, 34, 5, 11, 
2025/1/4, 76, 49, 4, 9, 
2025/1/5, 112, 51, 9, 9, 
2025/1/6, 117, 30, 6, 9, 
2025/1/7, 65, 30, 3, 20, 
2025/1/8, 68, 20, 3, 20, 
2025/1/9, 59, 24, 10, 26, 
2025/1/10, 50, 28, 13, 27, 
2025/1/11, 53, 29, 16, 28, 
2025/1/12, 70, 30, 17, 31, 
2025/1/13, 65, 26, 16, 28, 
2025/1/14, 59, 31, 9, 31, 
2025/1/15, 65, 51, 3, 25, 
2025/1/16, 112, 30, 11, 28, 
2025/1/17, 65, 34, 9, 30, 
2025/1/18, 76, 30, 11, 28, 
2025/1/19, 70, 34, 3, 27, 
2025/1/20, 87, 41, 9, 25, 
2025/1/21, 78, 20, 3, 22, 
2025/1/22, 42, 23, 3, 17, 
2025/1/23, 38, 33, 6, 24, 
2025/1/24, 76, 37, 3, 19, 
2025/1/25, 76, 19, 9, 18, 
2025/1/26, 46, 14, 24, 17, 
2025/1/27, 13, 14, 30, 27, 
2025/1/28, 17, 17, 24, 33, 
2025/1/29, 25, 28, 12, 26, 
2025/1/30, 59, 36, 3, 24, 
2025/1/31, 89, 20, 9, 27, 
2025/2/1, 59, 34, 9, 18, 
2025/2/2, 80, 37, 12, 31, 
2025/2/3, 76, 30, 15, 30, 
2025/2/4, 65, 39, 17, 37, 
2025/2/5, 89, 43, 11, 34, 
2025/2/6, 97, 43, 8, 27, 
2025/2/7, 93, 50, 6, 30, 
2025/2/8, 119, 18, 17, 18, 
2025/2/9, 55, 28, 14, 27, 
2025/2/10, 63, 31, 8, 21, 
2025/2/11, 68, 23, 5, 23, 
2025/2/12, 68, 50, 3, 22, 
2025/2/13, 91, 16, 20, 24, 
2025/2/14, 42, 22, 24, 30, 
2025/2/15, 50, 23, 25, 25, 
2025/2/16, 59, 30, 19, 27, 
2025/2/17, 68, 37, 18, 30, 
2025/2/18, 72, 33, 17, 29, 
2025/2/19, 72, 49, 22, 43, 
2025/2/20, 97, 51, 19, 41, 
2025/2/21, 112, 54, 19, 28, 
2025/2/22, 117, 73, 18, 29, 
2025/2/23, 164, 74, 12, 29, 
2025/2/24, 163, 60, 13, 26, 
2025/2/25, 144, 13, , 26, 
2025/2/26, 38, 15, 19, 27, 
2025/2/27, 13, 32, 8, 27, 
2025/2/28, 63, 14, 19, 27, 
2025/3/1, 50, 24, 26, 28, 
2025/3/2, 61, 20, 28, 36, 
2025/3/3, 50, 27, 26, 39, 
2025/3/4, 63, 30, 24, 42, 
2025/3/5, 74, 30, 24, 32, 
2025/3/6, 72, 26, 23, 30, 
2025/3/7, 65, 26, 28, 43, 
2025/3/8, 63, 30, 19, 21, 
2025/3/9, 72, 26, 24, 26, 
2025/3/10, 57, 23, 26, 28, 
2025/3/11, 42, 9, 22, 36, 
2025/3/13, 13, 10, 21, 29, 
2025/3/14, 13, 14, 24, 24, 
2025/3/15, 21, 15, 32, 15, 
2025/3/16, 38, 19, 33, 20, 
2025/3/17, 46, , 32, 28, 
2025/3/19, 46, 27, 30, 31, 
2025/3/20, 59, 37, 22, 33, 
2025/3/21, 65, 25, 22, 22, 
2025/3/22, 59, 13, 30, 16, 
2025/3/23, 17, 15, 30, 25, 
2025/3/24, 13, 12, 30, 27, 
2025/3/25, 13, 20, 28, 28, 
2025/3/26, 38, 16, 24, 31, 
2025/3/27, 25, 18, 21, 31, 
2025/3/28, 21, 14, 22, 22, 
2025/3/29, 21, 14, 28, 23, 
2025/3/30, 21, 18, 24, 27, 
2025/3/31, 30, 22, 18, 29, 
2024/10/1, 38, 13, 25, 12, 
2024/10/2, 17, 5, 16, 9, 
2024/10/3, 13, 6, 17, 7, 
2024/10/4, 13, 7, 10, 7, 
2024/10/5, 21, 10, 12, 8, 
2024/10/6, 30, 21, 11, 9, 
2024/10/7, 53, 16, 8, 10, 
2024/10/8, 30, 13, 13, 9, 
2024/10/9, 13, 10, 23, 8, 
2024/10/10, 13, 16, 21, 11, 
2024/10/11, 25, 20, 17, 6, 
2024/10/12, 42, 18, 22, 10, 
2024/10/13, 46, 23, 12, 20, 
2024/10/14, 42, 35, 13, 14, 
2024/10/15, 70, 40, 8, 12, 
2024/10/16, 87, 30, 7, 10, 
2024/10/17, 50, 20, 5, 12, 
2024/10/18, 34, 14, 6, 9, 
2024/10/19, 30, 27, 11, 11, 
2024/10/20, 59, 48, 4, 12, 
2024/10/21, 76, 59, , 12, 
2024/10/22, 107, 29, , 16, 
2024/10/23, 63, 17, 5, 11, 
2024/10/24, 53, 21, 3, 8, 
2024/10/25, 57, 27, 3, 9, 
2024/10/26, 59, 29, 7, 7, 
2024/10/27, 53, 40, 8, 10, 
2024/10/28, 65, 32, 14, 16, 
2024/10/29, 61, 33, 15, 16, 
2024/10/30, 63, 33, 15, 13, 
2024/10/31, 63, 26, 22, 10, 
2024/11/1, 57, 20, 21, 10, 
2024/11/2, 42, 28, 11, 8, 
2024/11/3, 68, 30, 13, 11, 
2024/11/4, 68, 40, 9, 10, 
2024/11/5, 87, 36, 7, 9, 
2024/11/6, 82, 41, 6, 11, 
2024/11/7, 93, 41, 3, 17, 
2024/11/8, 104, 40, 12, 17, 
2024/11/9, 107, 27, 18, 21, 
2024/11/10, 76, 27, 14, 22, 
2024/11/11, 68, 36, 4, 19, 
2024/11/12, 82, 40, 15, 25, 
2024/11/13, 89, 24, 14, 21, 
2024/11/14, 59, 34, 10, 24, 
2024/11/15, 80, 50, 11, 24, 
2024/11/16, 114, 47, 7, 16, 
2024/11/17, 117, 58, 4, 22, 
2024/11/18, 147, 63, 3, 20, 
2024/11/19, 151, 30, 15, 19, 
2024/11/20, 53, 10, 14, 21, 
2024/11/21, 13, 14, 22, 15, 
2024/11/22, 38, 20, 26, 23, 
2024/11/23, 55, 31, 11, 19, 
2024/11/24, 78, 32, 11, 22, 
2024/11/25, 76, 48, 4, 18, 
2024/11/26, 99, 42, 8, 15, 
2024/11/27, 89, 28, 11, 20, 
2024/11/28, 46, 43, 4, 17, 
2024/11/29, 91, 40, 9, 17, 
2024/11/30, 91, 31, 14, 19, 
2024/12/1, 85, 24, 10, 23, 
2024/12/2, 63, 38, 3, 17, 
2024/12/3, 91, 29, 7, 17, 
2024/12/4, 80, 27, 11, 22, 
2024/12/5, 50, 25, 8, 19, 
2024/12/6, 59, 35, 5, 15, 
2024/12/7, 78, 5, 26, 12, 
2024/12/8, 13, 11, 22, 18, 
2024/12/9, 38, 18, 7, 14, 
2024/12/10, 57, 36, 4, 17, 
2024/12/11, 78, 35, 7, 18, 
2024/12/12, 72, 50, 3, 14, 
2024/12/13, 107, 26, 14, 18, 
2024/12/14, 63, 24, 4, 11, 
2024/12/15, 63, 40, 7, 21, 
2024/12/16, 63, 42, 3, 19, 
2024/12/17, 82, 49, 3, 20, 
2024/12/18, 91, 39, 3, 16, 
2024/12/19, 74, 9, 10, 16, 
2024/12/20, 17, 19, 12, 17, 
2024/12/21, 30, 26, 10, 15, 
2024/12/22, 61, 23, 17, 17, 
2024/12/23, 61, 17, 21, 16, 
2024/12/24, 38, 20, 16, 14, 
2024/12/25, 59, 30, 15, 15, 
2024/12/26, 76, 26, 13, 17, 
2024/12/27, 61, 18, 17, 18, 
2024/12/28, 42, 19, 17, 16, 
2024/12/29, 46, , , , 
2024/7/1, 25, 10, 39, 13, 
2024/7/2, 13, 13, 23, 17, 
2024/7/3, 25, 11, 44, 17, 
2024/7/4, 30, 13, 44, 16, 
2024/7/5, 34, 13, 37, 13, 
2024/7/6, 25, 21, 32, 12, 
2024/7/7, 46, 27, 39, 17, 
2024/7/8, 57, 28, 53, 18, 
2024/7/9, 50, 26, 68, 22, 
2024/7/10, 55, 21, 63, 18, 
2024/7/11, 46, 24, 54, 28, 
2024/7/12, 38, 19, 41, 28, 
2024/7/13, 34, 11, 47, 27, 
2024/7/14, 25, 19, 59, 32, 
2024/7/15, 21, 18, 59, 29, 
2024/7/16, 42, 19, 53, 30, 
2024/7/17, 42, 23, 70, 29, 
2024/7/18, 68, 22, 52, 26, 
2024/7/19, 55, 11, 45, 23, 
